DEPARTAMENTO,HERIDOS,MUERTOS
QUINDIO,0,0
SUCRE,0,0
GUAVIARE,0,0
RISARALDA,0,0
CHOCO,0,0
ARAUCA,0,0
ANTIOQUIA,0,0
BOLIVAR,0,0
CESAR,0,0
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA",0,0
CALDAS,0,0
META,0,0
SANTANDER,0,0
CUNDINAMARCA,0,0
BOYACA,0,0
CORDOBA,0,0
NORTE DE SANTANDER,0,0
HUILA,0,0
CASANARE,0,0
PUTUMAYO,0,0
MAGDALENA,0,0
CAUCA,0,0
NARINO,0,0
VICHADA,0,0
VALLE DEL CAUCA,0,0
TOLIMA,0,0
LA GUAJIRA,0,0
GUAINIA,0,0
ATLANTICO,0,0
BOGOTA D.C.,0,0
CAQUETA,0,0
